Id,Label,d3,d2,d1,d0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Filter,X,Y,Size,Color
14iLAmnuVNhn6qAuAbZBC2,14iLAmnuVNhn6qAuAbZBC2,canadian country,1,2730,Carmen Rasmusen,0,0,0,0,2,,-21.580839,665.284241,10,"#d3b3b0"
0cAFxC4A77jenEdDik5TEH,0cAFxC4A77jenEdDik5TEH,idol,11,1264,David Hernandez,0,0,0,0,2,,326.638428,876.939331,10,"#d3b3b0"
7xevDCUuHSqqOPI210vdE9,7xevDCUuHSqqOPI210vdE9,idol,1,1271,Nikki McKibbin,0,0,0,0,2,,126.238358,580.617371,10,"#d3b3b0"
3SFVchRRMmFuOi3Azi0vTo,3SFVchRRMmFuOi3Azi0vTo,candy pop,24,30293,Saving Jane,0,0,0,0,2,,-19.50654,456.744415,10,"#d3b3b0"
0Av5wX4Zd3bam6RWExlocY,0Av5wX4Zd3bam6RWExlocY,idol,17,3746,Jasmine Trias,0,0,0,0,2,,259.357697,649.576172,10,"#d3b3b0"
4H6tLRh1nuIuVxHtXo68ZE,4H6tLRh1nuIuVxHtXo68ZE,idol,24,22548,Blake Lewis,19,0.100979,0.182919,7238,2,true,319.52832,460.032593,65.934479,"#d3b3b0"
2Bo6maBI7ZN1GhBgL2G9wE,2Bo6maBI7ZN1GhBgL2G9wE,,7,1217,The Private Language,0,0,0,0,2,,46.673801,256.018402,10,"#d3b3b0"
4HY2zdN65HUG5figJfXhUj,4HY2zdN65HUG5figJfXhUj,idol,17,1822,Vonzell Solomon,0,0,0,0,2,,112.232841,352.880096,10,"#d3b3b0"
0X9gb2eyRES9z1wiIQExLL,0X9gb2eyRES9z1wiIQExLL,idol,23,3561,Melinda Doolittle,0,0,0,0,2,,483.200897,651.779114,10,"#d3b3b0"
4BgyHNL5d6QR2DusBzmwAU,4BgyHNL5d6QR2DusBzmwAU,,15,2165,Thia Megia,0,0,0,0,2,,235.770401,328.059723,10,"#d3b3b0"
4lBcjMzkz39P14vLXMO2k6,4lBcjMzkz39P14vLXMO2k6,,21,1433,Annie Goodchild,0,0,0,0,2,,417.621307,431.089813,10,"#d3b3b0"
2pCpho80T9dJe1BOWnyxkF,2pCpho80T9dJe1BOWnyxkF,idol,23,3484,Joey Cook,0,0,0,0,2,,575.734985,588.259583,10,"#d3b3b0"
54vTuvEhI9EslkbBqsdb4l,54vTuvEhI9EslkbBqsdb4l,,30,7280,Von Smith,0,0,0,0,2,,459.951996,316.211639,10,"#d3b3b0"
4fJdo6NQQ4ghxfDOzKir81,4fJdo6NQQ4ghxfDOzKir81,,0,282,Stefanie Fair,0,0,0,0,2,,469.865082,534.100891,10,"#d3b3b0"
056XlYIT60uFLxOIgC0tfi,056XlYIT60uFLxOIgC0tfi,,9,483,Juliette Goglia,0,0,0,0,2,,606.819458,486.994141,10,"#d3b3b0"
1aSNX1iE4s6iCFFpfkPl4C,1aSNX1iE4s6iCFFpfkPl4C,british country,5,742,Paul Carella,0,0,0,0,3,,287.983154,207.860077,10,"#00bd94"
1UxNUybRFdtksz3l5HtCEG,1UxNUybRFdtksz3l5HtCEG,idol,37,67458,Casey Abrams,0,0,0,0,2,,526.005798,413.773621,10,"#d3b3b0"
3gN5Rim8xSWXChjpZ3U9rq,3gN5Rim8xSWXChjpZ3U9rq,,23,2508,Lavance Colley,0,0,0,0,2,,159.974106,241.809128,10,"#d3b3b0"
6neK0Nwb4rkGnehK4zL8iN,6neK0Nwb4rkGnehK4zL8iN,,31,6772,Ariana Savalas,0,0,0,0,2,,639.150269,373.830322,10,"#d3b3b0"
2PRX3SWA0tsqA2CuLfPiPl,2PRX3SWA0tsqA2CuLfPiPl,,0,274,Hayden Lee,18,0.110214,0.191925,7334,3,,427.569489,120.063667,66.676361,"#00bd94"
3tGBZXEEbjChwSoxDqchzs,3tGBZXEEbjChwSoxDqchzs,,5,1953,The Station Breaks,0,0,0,0,3,,541.860413,58.896717,10,"#00bd94"
3wGIH8TFCOUpgEi4mSaUaF,3wGIH8TFCOUpgEi4mSaUaF,,16,1653,Gil McKinney,0,0,0,0,3,,438.373505,9.024506,10,"#00bd94"
78EZcd0pMfrm5qJtfbbb5O,78EZcd0pMfrm5qJtfbbb5O,,9,4796,Briana Buckmaster,0,0,0,0,3,,276.769867,-133.637375,10,"#00bd94"
1qM50A2WtzGJwkNKD3mn4G,1qM50A2WtzGJwkNKD3mn4G,,14,3432,Dick Jr. & the Volunteers,0,0,0,0,3,,491.834381,-158.075897,10,"#00bd94"
2Gp6Jok77LOSH3YAtDEGkY,2Gp6Jok77LOSH3YAtDEGkY,,1,511,The Steve Carlson Band,0,0,0,0,3,,205.889847,134.343124,10,"#00bd94"
2GbmYrTXrKXvWmJZwyQV5W,2GbmYrTXrKXvWmJZwyQV5W,,3,1891,Left on Laurel,0,0,0,0,3,,660.480957,60.121338,10,"#00bd94"
5RllK9L8Sdmbz1UDzmyE1G,5RllK9L8Sdmbz1UDzmyE1G,,13,1627,Danny Kensy,0,0,0,0,3,,516.828613,190.085846,10,"#00bd94"
6R3NLF7uNoMjUYFhSSxtrx,6R3NLF7uNoMjUYFhSSxtrx,,17,3077,Steve Carlson,0,0,0,0,3,,394.304962,215.826569,10,"#00bd94"
31HgucqNKaFtx7fjZfVNLr,31HgucqNKaFtx7fjZfVNLr,,7,358,Emma Fitzpatrick,0,0,0,0,3,,575.429504,284.496368,10,"#00bd94"
7dLcKjebBGc0PfkX7QJmn5,7dLcKjebBGc0PfkX7QJmn5,,0,387,The Mots Nouveaux,0,0,0,0,3,,644.56366,-46.026939,10,"#00bd94"
3LyC5nEu3YhsVDTeFr0CtH,3LyC5nEu3YhsVDTeFr0CtH,,32,18208,Jason Manns,0,0,0,0,3,,317.484009,78.999786,10,"#00bd94"
0qJj1cLIDBCmN8cYcMHtiD,0qJj1cLIDBCmN8cYcMHtiD,,24,23255,Louden Swain,0,0,0,0,3,,303.349213,-25.755457,10,"#00bd94"
77HeI8Kyy8NMGYQrmqFV7n,77HeI8Kyy8NMGYQrmqFV7n,,25,6805,Rob Benedict,0,0,0,0,3,,200.005173,28.482969,10,"#00bd94"
4DBdLQhkTaPhydbjeHIIUL,4DBdLQhkTaPhydbjeHIIUL,,1,680,Brian Buckley Band,0,0,0,0,3,,624.887756,160.788818,10,"#00bd94"
0UqEm8h4VxD8CPum5Btrbl,0UqEm8h4VxD8CPum5Btrbl,,25,2856,Jay Gruska,0,0,0,0,3,,691.104431,241.466904,10,"#00bd94"
5GWCz0UAJDirn3cNNcq8iH,5GWCz0UAJDirn3cNNcq8iH,british country,6,1482,Gary Quinn,0,0,0,0,3,,342.791595,327.525604,10,"#00bd94"
7pe9RADjXbcHXwxnCHaHRd,7pe9RADjXbcHXwxnCHaHRd,classic oklahoma country,28,26415,Christian Kane,17,0.112363,0.186704,7393,3,,396.282043,-91.354683,67.132309,"#00bd94"
6kVxCBUNiNjVcpj1ODhViy,6kVxCBUNiNjVcpj1ODhViy,,5,2481,Riley Smith,0,0,0,0,3,,618.557434,-175.413361,10,"#00bd94"
3qBdT7NKSOBogHhGiUVLiV,3qBdT7NKSOBogHhGiUVLiV,,44,132141,Radio Company,0,0,0,0,3,,447.010071,-280.884674,10,"#00bd94"
539FiNgLTBmfQzYMSTGhbi,539FiNgLTBmfQzYMSTGhbi,,32,42897,Jensen Ackles,0,0,0,0,3,,175.393463,-81.534492,10,"#00bd94"
5FOnay0FD7x6RB2Mlq2JD0,5FOnay0FD7x6RB2Mlq2JD0,,16,9129,Ghost of the Robot,0,0,0,0,3,,666.204651,-327.526093,10,"#00bd94"
55vXrUMcOTLsburSL3PkFK,55vXrUMcOTLsburSL3PkFK,,1,747,Stewart Mac,0,0,0,0,3,,539.423767,-63.725193,10,"#00bd94"
6umISjDAHVLP3tvJMM80jw,6umISjDAHVLP3tvJMM80jw,,26,5150,Anthony Stewart Head,0,0,0,0,3,,259.411591,-251.602905,10,"#00bd94"
0XGi2ejSBtOyuBOQCq186K,0XGi2ejSBtOyuBOQCq186K,,8,261,Dean Roberts,0,0,0,0,3,,558.96344,-263.244293,10,"#00bd94"
4IeiBE1Wda3Gn1GrYkhEpX,4IeiBE1Wda3Gn1GrYkhEpX,,4,2332,Anthony Head,0,0,0,0,3,,371.274963,-205.94632,10,"#00bd94"
74hJP930Jtmwg5NqYoq9sB,74hJP930Jtmwg5NqYoq9sB,,12,2838,James Marsters,0,0,0,0,3,,578.794495,-376.961212,10,"#00bd94"
3XlASyLS4HSUX3inS3tIc1,3XlASyLS4HSUX3inS3tIc1,hollywood,41,154476,Jeremy Renner,16,0.125206,0.211505,7539,3,true,152.224411,-194.590576,68.260582,"#00bd94"
2mj5iibIywO5Vygsn64Z3e,2mj5iibIywO5Vygsn64Z3e,hollywood,22,49641,Robert Downey Jr.,0,0,0,0,3,,145.122635,-306.49823,10,"#00bd94"
2KAaJOwfu8n93byx6YPRPa,2KAaJOwfu8n93byx6YPRPa,"hollywood, nyc pop",53,214349,Scarlett Johansson,0,0,0,0,3,,1.049651,-442.937592,10,"#00bd94"
71PxpzhhLdi9OVp5NYqCZX,71PxpzhhLdi9OVp5NYqCZX,,17,7700,Tom Hiddleston,0,0,0,0,3,,343.067444,-333.655853,10,"#00bd94"
2garjIdgTW5i89s4Z3UT72,2garjIdgTW5i89s4Z3UT72,,47,91496,Andrew Garfield,0,0,0,0,3,,43.346897,-534.185059,10,"#00bd94"
